scientific_name,common_name,meaning,diet,length_m,weight_kg,height_m,locomotion,geological_period,lived_in,behavior_notes,first_discovered,fossil_location,notable_features,intelligence_level,source_link,row_index
Enigmacursor,Enigmacursor,La Amarga lizard,Herbivore,,2500.0,3.5,Quadrupedal,EARLY CRETACEOUS,Argentina,Neck spines,1991,Argentina,Neck spines,Low,https://en.wikipedia.org/wiki/Enigmacursor,101
Oplosaurus,Oplosaurus,Armed lizard,Carnivore,7.0,,3.0,Bipedal,Jurassic,Europe,Theropod dinosaur,1874,UK,Possibly a megalosaurid,,https://en.wikipedia.org/wiki/Oplosaurus,864
Jiangxititan,Jiangxititan,Jiangxi titan,Herbivore,20.0,22000.0,7.0,Quadrupedal,Late Cretaceous ,Asia,Sauropod dinosaur,2019,China,Large sauropod,Large,https://en.wikipedia.org/wiki/Jiangxititan,999999
Harenadraco,Harenadraco,Harena dragon,Carnivore,1.5,20.0,-0.8,Bipedal,Late Cretaceous,Europe,Theropod dinosaur,2017,Europe,Small theropod,Small,https://en.wikipedia.org/wiki/Harenadraco,1314
Erlikosaurus,Erlikosaurus,Near lizard,Herbivore,2.0,50.0,1.0,Bipedal,Early Jurassic,USA,Small herbivore,1818,USA,Small body,Medium,https://en.wikipedia.org/wiki/Erlikosaurus,107
Yehuecauhceratops,Yehuecauhceratops,Strong horned face,Herbivore,5.0,2000.0,2.0,Quadrupedal,Cretaceous,North America,Ceratopsian dinosaur,2021,Mexico,Medium ceratopsian,Medium,https://en.wikipedia.org/wiki/Yehuecauhceratops,1532
Platyceratops,Platyceratops,Flat horn face,Herbivore,3.0,500.0,1.2,Bipedal,Late Cretaceous,Asia (Mongolia),CERATOPSIAN DINOSAUR,1952,Mongolia,Small ceratopsian,Unknown,https://en.wikipedia.org/wiki/Platyceratops,921
Jeholosaurus,Jeholosaurus,Jehol lizard (named after Jehol region),Herbivore,8.38,,0.7,Bipedal,Early Cretaceous,Asia (China),Small ornithopod dinosaur...,c. 2002,China,Agile and small-bodied,Medium,https://en.wikipedia.org/wiki/Jeholosaurus,692
Tianyuraptor,Tianyuraptor,Tianyuraptor  ,Carnivore,2.0,15.0,0.8,Bipedal,Late Jurassic,Asia,Theropod dinosaur,2010,China,Small predator,Medium,https://en.wikipedia.org/wiki/Tianyuraptor,1107
Yuanmouraptor,Yuanmouraptor,Yuanmu thief,Carnivore,6.0,500.0,2.0,Bipedal,Late Jurassic,Asia,Theropod dinosaur,2021,China,Medium predator,med,https://en.wikipedia.org/wiki/Yuanmouraptor,1535
Valdoraptor,Valdoraptor,Valdo thief,Carnivore,4.0,250.0,1.2,Bipedal,Early Cretaceous,Europe,Theropod dinosaur,2018,UK,Medium theropod,Medium ,https://en.wikipedia.org/wiki/Valdoraptor,1149
Deinodon,Deinodon,terrible tooth,Carnivore,,,,Bipedal,Late Cretaceous (Campanian),"North America (Montana, USA)",Theropod known only from teeth; possibly Gorgosaurus,1856,"Judith River Formation, Montana",Nomen dubium; indistinct from other tyrannosaurids,Unknown,https://en.wikipedia.org/wiki/Deinodon,532
Eotrachodon,Eotrachodon,dawn rough tooth,Herbivore,9.0,2500.0,~3.2,Bipedal/Quadrupedal,Late Cretaceous (Santonian),"North America (Alabama, USA)",Early hadrosaurid with primitive jaw features,c. 2016,"Poorhouse Creek, Alabama",Important for early hadrosaurid evolution,Medium ,https://en.wikipedia.org/wiki/Eotrachodon,578
Magnapaulia,Magnapaulia,Large Paulia,Herbivore,15.0,20000.0,,Quadrupedal,Late Cretaceous,North America,Hadrosaurid dinosaur,2012,USA,Large duck-billed dinosaur,Medium,https://en.wikipedia.org/wiki/Magnapaulia,782
Pellegrinisaurus,Pellegrinisaurus,Pellegrini lizard,Herbivore,17.0,25000.0,6.0,Quadrupedal,Late Cretaceous,South America,Titanosaurian sauropod,c. 1996,Argentina,Large titanosaur,UNKNOWN,https://en.wikipedia.org/wiki/Pellegrinisaurus,905
Gryposaurus,Gryposaurus,Fused lizard,Herbivore,6.0,6000.0,,Quadripedal,Late Cretaceous,North America,Armored,1908,Canada,Club tail,Medium,http//invalid-url,128
Zhuchengosaurus,Zhuchengosaurus maximus,Zhucheng lizard,Herbivore,16.0,15000.0,6.0,Bipedal,Late Cretaceous,China,Large hadrosaurid,2007,"Shandong, China",Gigantic duck-billed dinosaur,Medium,https://en.wikipedia.org/wiki/Zhuchengosaurus,309
Rapetosaurus,Rapetosaurus,Fast lizard,Herbivore,15.0,18000.0,5.5,Quadrupedal,Late Cretaceous,Madagascar,Titanosaur sauropod,2001,Madagascar,Very large sauropod,Medium,https://en.wikipedia.org/wiki/Rapetosaurus,964
Nanyangosaurus,Nanyangosaurus,Nanyang lizard,Herbivore,6.0,2000.0,2.5,Bipedal,Late Cretaceous,Asia (China),Hadrosauroid dinosaur,2000,China,Late Cretaceous hadrosaur,Unknown,https://en.wikipedia.org/wiki/Nanyangosaurus,834
Incisivosaurus,Incisivosaurus,Incisor lizard,unknown,1.2,10.0,2.82,Bipedal,Early Cretaceous,Asia (China),Theropod with rodent-like teeth,01/01/2002,China,Unique teeth for omnivory,High,https://en.wikipedia.org/wiki/Incisivosaurus,680
Zhongornis,Zhongornis,Zhong bird,Omnivore,0.3,1.0,0.1,Bipedal,Jurassic,Asia,Avialae,2008,China,Small bird-like dinosaur,Small,https://en.wikipedia.org/wiki/Zhongornis,1197
Bagualia,Bagualia,Bagual giant,Herbivore,15.0,15000.0,5.0,Quadrupedal,Late Jurassic,South America,Sauropod dinosaur,2021,Argentina,Large sauropod,med,https://en.wikipedia.org/wiki/Bagualia,1235
Weewarrasaurus,Weewarrasaurus,Weewarra lizard,Herbivore,4.0,approx 700,1.3,Bipedal,Late Cretaceous,Australia,Hadrosaurid dinosaur,2019,Australia,Medium hadrosaur,Medium,https://en.wikipedia.org/wiki/Weewarrasaurus,1167
Brasilotitan,Brasilotitan,Brazil titan,Herbivore,103.37,9000.0,4.5,Quadrupedal,Late Cretaceous (Maastrichtian),South America (Brazil),Titanosaurid sauropod with unique vertebrae,01/01/2013,"Adamantina Formation, São Paulo",Possesses notched jaw and distinct vertebrae features,Low,https://en.wikipedia.org/wiki/Brasilotitan,450
Szechuanoraptor,Szechuanoraptor,Szechuan thief  ,Carnivore,6.0,600.0,2.0,Bipedal,Late Jurassic,Asia,Theropod dinosaur,2013,China,Medium predator,,https://en.wikipedia.org/wiki/Szechuanoraptor,1063
Luoyanggia,Luoyanggia,Luoyang lizard,Herbivore,2.0,15.0,0.6,Bipedal,late cretaceous,Asia (China),,2013,China,Small duck-billed dinosaur,Medium,https://en.wikipedia.org/wiki/Luoyanggia,774
Ojoceratops,Ojoceratops,Ojo (eye) horned face,HERBIVORE,6.0,3000.0,2.0,Quadrupedal,Late Cretaceous,North America,Ceratopsian dinosaur,1995,USA,Similar to Triceratops,Unknown,,859
Papiliovenator,Papiliovenator,Butterfly hunter,Carnivore,1.8,n/a,1.0,Bipedal,Late Cretaceous,North America,Theropod dinosaur,2019,USA,Small theropod,Small,https://en.wikipedia.org/wiki/Papiliovenator,1426
Spinostropheus,Spinostropheus,Spine vertebra  ,Carnivore,5.0,300.0,1.5,Bipedal,jurassic,Africa,Theropod dinosaur,1920,Morocco,Small predator,Medium,https://en.wikipedia.org/wiki/Spinostropheus,1049
Thanatotheristes,Thanatotheristes,Death harvester,Carnivore,8.0,3000.0,3.0,Bipedal,Late Cretaceous,North America,Tyrannosaurid theropod,2020,Canada,Large predator,Large,https://en.wikipedia.org/wiki/Thanatotheristes,11497
Vectiraptor,Vectiraptor,Vectis thief,Carnivore,3.5,2362.93,1.2,Bipedal,Cretaceous,Europe,Theropod dinosaur,2019,UK,Small predator,Small,https://en.wikipedia.org/wiki/Vectiraptor,1520
Saltopus,Saltopus,Salt foot,Carnivore,1.0,15.0,0.4,Bipedal,Late Triassic,Europe,Theropod dinosaur,1910,,Very small theropod,Very small ,https://en.wikipedia.org/wiki/Saltopus,1460
Zanabazar,Zanabazar junior,Zanabazar,Carnivore,2.0,25.0,0.9,Bipedal,Late Cretaceous,Mongolia,Advanced troodontid theropod,1974,"Ömnögovi, Mongolia","Large braincase, long legs",High,https://en.wikipedia.org/wiki/Zanabazar,298
Saurolophus?,Saurolophus,Lizard crest,Herbivore,9.0,3000.0,3.0,Quadrupedal ,Late Cretaceous,North America,Hadrosaur dinosaur,1912,USA,Large hadrosaur,,https://en.wikipedia.org/wiki/Saurolophus,988
Qiupalong,Qiupalong,Qiupa dragon,Omnivore,3.0,90.0,1.5,Bipedal,Late Cretaceous,China,Ornithomimid with long limbs,2011,"Henan Province, China","Slender build, bird-like legs",Medium,https://en.wikipedia.org/wiki/Qiupalong,231
Kuru (genus also refers to a prion disease),Kuru,Kuru,Herbivore,1.5 meters,30.0,0.5,Bipedal,Late Triassic,Asia,Pre-dinosaur reptile,around 2019,Mongolia,Tiny reptile,Tiny,not available,1357
Craterosaurus,Craterosaurus,bowl lizard,Herbivore,,,,Quadrupedal,Early Cretaceous (Barremian) ,Europe (England),Poorly known sauropod from vertebra fragment,1876,"Isle of Wight, UK",Taxonomic validity uncertain; possibly rebbachisaurid,Unknown,https://en.wikipedia.org/wiki/Craterosaurus,513
Liaoceratops,Liaoceratops,Vineyard lizard,Herbivore,15.0,5000.0,4.2,Quadrupedal ,Late Cretaceous,France,Armored...,1989,France,Bony armor,Low,https://en.wikipedia.org/wiki/Liaoceratops,163
Dandakosaurus,Dandakosaurus,Dandakaranya lizard,Carnivore,,,,Bipedal,Jurassic (Toarcian?),Asia (India),Theropod based on single vertebra; highly dubious,1962,"Kota Formation, India",Poorly known; uncertain classification,Unknown,https://en.wikipedia.org/wiki/Dandakosaurus,527
Styracosaurus,Styracosaurus albertensis,Spiked lizard,Herbivore,5.5,,,Quadrupedal,Late Cretaceous,North America,Ceratopsian with dramatic frill and horns,1913,Alberta Canada,Single nose horn and frill spikes,Medium,,266
Kaijiangosaurus,Kaijiangosaurus,Kaijiang lizard,Carnivore,6.0,600.0,2.0,Bipedal,Late Jurassic,Asia (China),Middle-sized theropod,1992,China,Slender build and sharp claws,Medium,https://en.wikipedia.org/wiki/Kaijiangosaurus,705
Tarbosaurus,Tarbosaurus,Tarbosaurus (tyrant lizard)  ,Carnivore,,,4.0,Bipedal,Late Cretaceous ,Asia,Tyrannosaurid theropod,1946,Mongolia,Large predator,Medium,https://en.wikipedia.org/wiki/Tarbosaurus,1074
Emiliasaura,Emiliasaura,Emilia lizard,Herbivore,3.0,700.0,1.0,Bipedal,Late Cretaceous,South America,Ornithopod dinosaur,c. 2019,Argentina,Small ornithopod,avg,https://en.wikipedia.org/wiki/Emiliasaura,1290
Caletodraco,Caletodraco,Caleto dragon,HERBIVORE,6.0,2000.0,2.5,Quadrupedal,Late Cretaceous,South America,Sauropod dinosaur,2019,Argentina,Medium sauropod,Medium,https://en.wikipedia.org/wiki/Caletodraco,1255
Muttaburrasaurus,Muttaburrasaurus,Sand lizard,Herbivore,4.0,300.0,1.2m,Bipedal,Early Jurassic,USA,Early sauropodomorph,1889,USA,Slender build,Medium,https://en.wikipedia.org/wiki/Muttaburrasaurus,192
Newtonsaurus,Newtonsaurus,Newton's lizard,Herbivore,5.0,300.0,1.5,Bipedal,Late Jurassic,Europe,Ornithischian dinosaur,1894,UK,Medium-sized herbivore,Unknown,https://en.wikipedia.org/wiki/Newtonsaurus,844
Chaoyangsaurus,Chaoyangsaurus,Vineyard lizard,Herbivore,15.0,,4.2,Quadrupedal,Late Cretaceous,France,Armored,1989,France,Bony armor,,https://en.wikipedia.org/wiki/Chaoyangsaurus,63
Liubangosaurus,Liubangosaurus,Liubang lizard,Herbivore,10.0,7000.0,,Quadrupedal,Late Cretaceous,Asia (China),Sauropod dinosaur,2007,China,Medium-sized titanosaur,Medium,https://en.wikipedia.org/wiki/Liubangosaurus,767
Regaliceratops,Regaliceratops,Regal horned face,Herbivore,5.5,3500.0,2.8,Bipedal,Late Cretaceous,North America,Ceratopsian dinosaur,2017,Canada,Medium ceratopsian,Medium,https://en.wikipedia.org/wiki/Regaliceratops,11450
Hypnovenator,Hypnovenator,Hypno hunter,,2.0,50.0,1.0,Bipedal,Late Cretaceous,North America,Theropod dinosaur,2017,USA,Small theropod,Small,https://en.wikipedia.org/wiki/Hypnovenator,1325
Albertavenator,Albertavenator,Alberta hunter,carnivore,3.5,100.0,1.0,Bipedal,Late Cretaceous,North America,,2014,Canada,Small predator,Small,http://en.wikipedia.org/wiki/Albertavenator,1212
Gigantosaurus,Gigantosaurus,giant lizard,Herbivore,15.0,10000.0,~4.0,Quadrupedal,Late Jurassic (Oxfordian),Europe (England),Nomen dubium; likely misclassified sauropod,around 1869,"Great Oolite Group, England",Name often confused with Giganotosaurus,Unknown,https://en.wikipedia.org/wiki/Gigantosaurus,620
Peishansaurus,Peishansaurus,Peishan lizard,Herbivore,5.0,2000.0,N/A,Quadrupedal,Jurassic,Asia (China),Thyreophoran dinosaur,1929,China,Medium armored dinosaur,Unknown,https://en.wikipedia.org/wiki/Peishansaurus,904
Bagaraatan,Bagaraatan,small hunter,carnivore,3.0,100.0,1.2,Bipedal,Late Cretaceous (Maastrichtian),Asia (Mongolia),Theropod of uncertain placement; lightweight predator,1996,"Nemegt Formation, Mongolia",Known from hindlimbs and jaws; classification debated,Medium,https://en.wikipedia.org/wiki/Bagaraatan,415
Bashanosaurus,Bashanosaurus,Bashan lizard,HERBIVORE,8.0,4000.0,3.0,Quadrupedal,Late Jurassic ,Asia,Sauropod dinosaur  ,2021,China,Medium sauropod,Medium,https://en.wikipedia.org/wiki/Bashanosaurus,1239
Othnielosaurus,Othnielosaurus,Othniel's lizard,Herbivore,2.0,20.0,0.8, Bipedal,Late Jurassic,USA,,2007,"Morrison Formation, USA",Reclassified small ornithopod,Medium,https://en.wikipedia.org/wiki/Othnielosaurus,218
Arrudatitan,Arrudatitan,Arruda titan,Herbivore,25.0,40000.0,7.0,Quadrupedal,Late Cretaceous,South America,Sauropod dinosaur,2011,Brazil,Large sauropod,Large,https://en.wikipedia.org/wiki/Arrudatitan,1228
Yongjinglong,Yongjinglong datangi,Yongjing dragon,Herbivore,15.0,20000.0,6.0,Quadrupedal ,early cretaceous,China,Titanosaurian sauropod,2014,"Gansu, China","Large body, elongated neck",Medium,https://en.wikipedia.org/wiki/Yongjinglong,286
Diuqin,Diuqin,Diuqin lizard,Herbivore,,3500.0,2.5,Quadrupedal,Late Jurassic,Asia,Sauropod dinosaur,2018,China,Medium sauropod,Medium,https://en.wikipedia.org/wiki/Diuqin,999999
Chromogisaurus,Chromogisaurus,colored earth lizard,Herbivore,2.0,50.0,0.8,Bipedal,Late Triassic (Carnian),South America (Argentina),,2009,"Ischigualasto Formation, Argentina",Among earliest known sauropodomorphs,Medium,https://en.wikipedia.org/wiki/Chromogisaurus,494
Huadanosaurus,Huadanosaurus,Huada lizard,Herbivore,7.0,3500.0,2.5,Bipedal,Late Cretaceous,Asia,Hadrosaur dinosaur...,2013,China,Medium hadrosaur,Medium,https://en.wikipedia.org/wiki/Huadanosaurus,1318
Tangvayosaurus,Tangvayosaurus,Tangvayo lizard  ,HERBIVORE,11.0,5000.0,4.5,Quadrupedal,Early Cretaceous,Asia,Sauropod dinosaur,1999,Laos,Large sauropod,Medium,https://en.wikipedia.org/wiki/Tangvayosaurus,1068
Natovenator,Natovenator,Swimmer hunter,Carnivore,2.5,150.0,,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,2021,Mongolia,Small theropod,Small,not available,1406
Animantarx,Animantarx,living fortress,Herbivore,3.0,300.0,1.5,Quadrupedal,Late Cretaceous (Cenomanian),"North America (Utah, USA)",Nodosaurid; heavily armored body,1999,"Mussentuchit Member, Utah",Discovered via radiological scan before excavation,Low,https://en.wikipedia.org/wiki/Animantarx,374
Ceratonykus,Ceratonykus,horned claw,Omnivore,1.0,5.0,0.5,Bipedal,LATE CRETACEOUS (CAMPANIAN),Asia (Mongolia),Alvarezsaurid theropod with birdlike traits,2009,"Djadochta Formation, Mongolia",Short arms with large claws; fast runner,High,https://en.wikipedia.org/wiki/Ceratonykus,478
Velocisaurus,Velocisaurus,Swift lizard,Carnivore,2.0,25.0,0.5,Bipedal,Late Cretaceous,South America,Theropod dinosaur,1991,Argentina,Small theropod,Small,https://en.wikipedia.org/wiki/Velocisaurus,1156
Pseudolagosuchus,Pseudolagosuchus,False rabbit crocodile,Carnivore,,40.0,0.8,Bipedal,Late Triassic,South America,Theropod dinosaur,1997,Argentina,Small predator,Medium,https://en.wikipedia.org/wiki/Pseudolagosuchus,949
Eucnemesaurus,Eucnemesaurus,good tibia lizard,HERBIVORE,6.0,800.0,2.0,Bipedal,Triassic (Norian),Africa (South Africa),Basal sauropodomorph with strong hind limbs  ,1920,"Elliot Formation, South Africa",Robust lower limbs; related to Riojasaurus,Medium,https://en.wikipedia.org/wiki/Eucnemesaurus,591
Sigilmassasaurus,Sigilmassasaurus,Sigilmassa lizard,Carnivore,9.0,2500.0,,Bipedal,Late Cretaceous,Africa,Theropod dinosaur,1996,Morocco,Large spinosaurid,MEDIUM,https://en.wikipedia.org/wiki/Sigilmassasaurus,1023
Jiutaisaurus,Jiutaisaurus,Jiutai lizard,Herbivore,11.0,13000.0,4.5,Quadrupedal,Late Cretaceous,Asia (China),Titanosaur sauropod,2001,China,Huge body and long neck,Low,https://en.wikipedia.org/wiki/Jiutaisaurus,700
Chenanisaurus,Chenanisaurus,Chennai lizard,Carnivore,4.0,800.0,1.5,Bipedal,Late Cretaceous (Maastrichtian),Africa (Morocco),Abelisaurid theropod; one of last non-avian dinosaurs,2017,"Ouled Abdoun Basin, Morocco",Robust jaw; end-Cretaceous survivor,Medium,https://en.wikipedia.org/wiki/Chenanisaurus,486
Hypselospinus,Hypselospinus,high ridge spine,Herbivore,6.0,200.0,2.0,Bipedal,Early Cretaceous,Europe (UK),Iguanodontian ornithopod,2010,England,Moderate-sized herbivore with spines,Low,https://en.wikipedia.org/wiki/Hypselospinus,672
Gandititan,Gandititan,Gandi titan,Herbivore,22.0,25000.0,,Quadrupedal,Late Cretaceous,Asia,Sauropod dinosaur,2005,India,Large sauropod,Large,https://en.wikipedia.org/wiki/Gandititan,1303
Xenoposeidon,Xenoposeidon,Foreign Poseidon,Herbivore,15.0,20000.0,5.0,Quadrupedal,Jurassic,Europe,Sauropod dinosaur,2007,UK,Large sauropod,Large,https://en.wikipedia.org/wiki/Xenoposeidon,1174
Jubbulpuria,Jubbulpuria,Jubbulpur (place) lizard,Carnivore,,approx 50,1.0,Bipedal,Late Cretaceous,Asia (India),Troodontid dinosaur,1935,India,Small and fast,Medium,https://en.wikipedia.org/wiki/Jubbulpuria,701
Silutitan,Silutitan,Silu titan,Herbivore,15.0,15000.0,6.0,Quadrupedal,Late Jurassic,Asia,Sauropod dinosaur,2020,China,Large sauropod,Large,https://en.wikipedia.org/wiki/Silutitan,1477
Darwinsaurus,Darwinsaurus,Darwin's lizard,Herbivore,6.0 meters,1200.0,2.5,Bipedal,Early Cretaceous (Barremian),Europe (England),Iguanodontian formerly called Iguanodon fittoni,2012,"Wadhurst Clay, Sussex",Potentially distinct due to unique jaw features,Medium,https://en.wikipedia.org/wiki/Darwinsaurus,528
Saturnalia,Saturnalia,Saturnalia festival,Herbivore,1.5,25.0,0.8,Bipedal,Late Triassic,South America,Sauropodomorph dinosaur,1999,Brazil,Early herbivore,Medium,https://en.wikipedia.org/wiki/Saturnalia,-987
Stegopelta,Stegopelta,Roof shield  ,Herbivore,,1500.0,2.0,Quadrupedal,Early Cretaceous,North America,Ankylosaurian dinosaur,1910,USA,Medium armored dinosaur,Medium,https://en.wikipedia.org/wiki/Stegopelta,1050
Velociraptor,Velociraptor mongoliensis,Swift thief,Carnivore,2.07,15.0,0.5,Bipedal,Late Cretaceous,Mongolia,Fast and intelligent dromaeosaurid,1923,Mongolia,Sickle-shaped claw and feathers,Unknown,https://en.wikipedia.org/wiki/Velociraptor,277
Astigmasaura,Astigmasaura,Astigmas lizard,Herbivore,,500.0,,Quadrupedal,Late Jurassic,Asia,,2015,China,Medium sauropod,Medium,https://en.wikipedia.org/wiki/Astigmasaura,1232
Protarchaeopteryx,Protarchaeopteryx,First ancient wing,carnivore,1.0,,0.5,Bipedal ,Late Jurassic,Asia,Theropod dinosaur,1997,China,Feathered dinosaur,Medium,https://en.wikipedia.org/wiki/Protarchaeopteryx,943
Maleevus,Maleevus,Maleev's lizard,Carnivore,6.0,700.0,2.5,Bipedal,Late Cretaceous,Asia (Mongolia),Theropod dinosaur,01/01/1965,Mongolia,Medium-sized predator,med,https://en.wikipedia.org/wiki/Maleevus,788
Riojasaurus,Riojasaurus,RÃ­oja lizard,Herbivore,10.0,3000.0,3.2,Quadrupedal,Late Triassic,Argentina,Early sauropodomorph,1969,"La Rioja, Argentina",Long neck and tail,Low,https://en.wikipedia.org/wiki/Riojasaurus,236
Magulodon,Magulodon,Magula tooth,HERBIVORE,3.0,100.0,1.0,Bipedal,Late Jurassic,North America,Theropod dinosaur (disputed),c. 1995,USA,Possibly herbivorous theropod,Unknown,https://en.wikipedia.org/wiki/Magulodon,785
Huinculsaurus,Huinculsaurus,Huincul lizard,Carnivore,8.0,2500.0,3.0,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2004,Argentina,Medium theropod,Medium,https://en.wikipedia.org/wiki/Huinculsaurus,1324
Xiyunykus,Xiyunykus,Xiyun claw,Carnivore,2.5,60.0,1.0,Bipedal,Cretaceous,Asia,,2018,,Small predator,Small,https://en.wikipedia.org/wiki/Xiyunykus,1529
Galveosaurus,Galveosaurus,Galve lizard,Herbivore,8.0,4000.0,,Quadrupedal,Late Jurassic,Europe,Sauropod dinosaur...,2005,Spain,Medium sauropod,Medium,https://en.wikipedia.org/wiki/Galveosaurus,1302
Thecospondylus,Thecospondylus,Thecospondylus  ,Herbivore,3.0,100.0,1.0,bipedal,Triassic,Europe,Ornithischian dinosaur,1905,UK,Small early herbivore,medium,https://en.wikipedia.org/wiki/Thecospondylus,1098
Ornithomimus,Ornithomimus,Bird mimic,Omnivore,3.5,150.0,2.0,,Late Cretaceous,North America,"Fast runner, likely feathered",1890,"Alberta, Canada","Long legs and neck, bird-like beak",Medium,https://en.wikipedia.org/wiki/Ornithomimus,208
Xiaosaurus,Xiaosaurus,Xiao lizard,Herbivore,1.2,10.0,0.4,Bipedal,Jurassic,Asia,Theropod dinosaur,1978,China,Small theropod,Small,https://en.wikipedia.org/wiki/Xiaosaurus,1177
Maraapunisaurus,Maraapunisaurus,Maraapuni lizard,Herbivore,30.0,35000.0,7.5,Quadrupedal,Late Jurassic,North America,Sauropod dinosaur,2018,USA,Large sauropod,Large,https://en.wikipedia.org/wiki/Maraapunisaurus,1389
Blasisaurus,Blasisaurus,Blasi lizard,HERBIVORE,6.0,1800.0,2.5,Quadrupedal,late cretaceous (maastrichtian),Europe (Spain),Lambeosaurine hadrosaur with distinct skull features  ,2010,"Blasi site, Arén Formation, Spain",Closely related to Arenysaurus; nasal crest morphology,Medium,https://en.wikipedia.org/wiki/Blasisaurus,439
Cedarpelta,Cedarpelta,Fused lizard,Herbivore,6.0,6000.0,1.7,Quadrupedal,Late Cretaceous,North America,Armored,1908,Canada,Club tail,Medium,https://en.wikipedia.org/wiki/Cedarpelta,58
Mexidracon,Mexidracon,Mexican dragon,Carnivore,5.0,2500.0,2.0,Bipedal,Late Cretaceous,North America,Theropod dinosaur,2019,Mexico,Medium theropod,Medium,https://en.wikipedia.org/wiki/Mexidracon,1395
Betasuchus,Betasuchus,Beta crocodile,Carnivore,4.0,250.0,1.5,Bipedal,Late Cretaceous (Maastrichtian),Europe (Netherlands),Poorly known theropod; originally misclassified as crocodylian,1883,"Maastricht Formation, Netherlands",Only femur found; uncertain placement,Unknown,https://en.wikipedia.org/wiki/Betasuchus,433
Chuanqilong,Chuanqilong,legendary dragon,Herbivore,4.0,400.0,1.8,Quadrupedal,Early Cretaceous (Aptian),Asia (China),Ankylosaur; closely related to Liaoningosaurus,2014,"Yixian Formation, Liaoning Province",Armored body; small and early nodosaur,Low,https://en.wikipedia.org/wiki/Chuanqilong,497
Mongolosaurus,Mongolosaurus,Mongolian lizard,Herbivore,8.0,,3.0,Quadrupedal,Late Cretaceous,Asia (China),Titanosaurian sauropod,1953,,Large sauropod with robust build,,https://en.wikipedia.org/wiki/Mongolosaurus,816
Ceratosuchops,Ceratosuchops,Horned crocodile face,Carnivore,8.0,2000.0,3.0,Bipedal,Late Cretaceous,Europe,Theropod dinosaur,2019,UK,Large predator,Large,https://en.wikipedia.org/wiki/Ceratosuchops,1258
Psittacosaurus,Psittacosaurus,Parrot lizard,Herbivore,,20.0,0.7,Bipedal,Early Cretaceous,Asia,Ceratopsian dinosaur,1923,China,Small beaked herbivore,Medium,https://en.wikipedia.org/wiki/Psittacosaurus,950
Riojavenatrix,Riojavenatrix,Rioja hunter,Carnivore,3.5,250.0,1.6,Bipedal,Late Cretaceous,South America,Theropod dinosaur,c. 2013,Argentina,Small theropod,Small,https://en.wikipedia.org/wiki/Riojavenatrix,11454
Diodorus,Diodorus,Diodorus lizard,Carnivore,2.5,100.0,1.2 meters,Bipedal,Late Cretaceous,North America,,2007,USA,Small theropod,Small,https://en.wikipedia.org/wiki/Diodorus,1279
Paranthodon,Paranthodon,Near flower tooth,Herbivore,4.0,500.0,1.5,Quadrupedal,Early Cretaceous,Africa,Stegosaurid dinosaur,1912,South Africa,Medium-sized stegosaur,Unknown,https://en.wikipedia.org/wiki/Paranthodon,893
AURORNIS ,Aurornis,dawn bird,Carnivore,0.5,1.5,0.3,Bipedal,Jurassic (Oxfordian),Asia (China),Early avialan; close to the origin of birds,2013,"Tiaojishan Formation, Liaoning, China",Feathered; possibly older than Archaeopteryx,High,https://en.wikipedia.org/wiki/Aurornis,10408
Yunmenglong,Yunmenglong ruyangensis,Yunmeng dragon,,,30000.0,7.0,Quadrupedal,Early Cretaceous ,China,Large sauropod from Ruyang Basin,2013?,"Henan, China",Related to Euhelopus and titanosaurs,Medium,https://en.wikipedia.org/wiki/Yunmenglong,292
Fylax,Fylax,Fylax guardian,Carnivore,3.0,300.0,1.5,Bipedal,Late Cretaceous,Europe,Theropod dinosaur,2020,Europe,Medium theropod,Medium,https://en.wikipedia.org/wiki/Fylax,1301
Andhrasaurus,Andhrasaurus,Andhra lizard,Herbivore,6.0,2500.0,2.0,Quadrupedal,Late Jurassic,Asia,Sauropod dinosaur...,2009,India,Medium sauropod,Medium,https://en.wikipedia.org/wiki/Andhrasaurus,1220
Pitekunsaurus,Pitekunsaurus,Pitekuns lizard,Herbivore,10.0,,4.0,Quadrupedal,Late Cretaceous,South America,Titanosaurian sauropod,2006,Argentina,Large titanosaur,,,917
Mahakala,Mahakala,Great Black One (Hindu deity),Carnivore,1.0,15.0,0.5,Bipedal,Late Cretaceous,Asia (Mongolia),Dromaeosaurid theropod,2006,Mongolia,"Small, bird-like predator",High,https://en.wikipedia.org/wiki/Mahakala,786
Qantassaurus,Qantassaurus,Named after Qantas Airlines,Herbivore,1.8,25.0,0.8,Bipedal,Early Cretaceous,Australia,"Small, fast ornithopod",1999,"Victoria, Australia","Short face, herbivorous beak",Medium ,https://en.wikipedia.org/wiki/Qantassaurus,233
Rinconsaurus,Rinconsaurus,Rincon lizard,Herbivore,9.0,6000.0,,Quadrupedal ,Late Cretaceous,South America,Titanosaur sauropod,1996,Argentina,Large sauropod,Medium,https://en.wikipedia.org/wiki/Rinconsaurus,970
Neovenator,Neovenator,Near bird,Carnivore,0.5,0.38,0.25,Bipedal,Late Jurassic,China,Feathered,2009,China,Feathers,Medium,https://en.wikipedia.org/wiki/Neovenator,196
